197
1	1	965	175	16	32
1	1	1097	175	16	32
1	1	1204	175	16	32
1	1	1278	175	16	32
1	1	2106	172	16	32
1	1	2150	171	16	32
-2	2	1392	200	16	8	isRightUp	1	isTop	0
-2	2	1458	138	9	6	isRightUp	1	isTop	1
-2	2	1488	136	16	8	isRightUp	1	isTop	0
-2	2	1520	105	11	7	isRightUp	1	isTop	1
-2	2	1669	104	11	7	isRightUp	0	isTop	1
-2	2	1696	136	16	8	isRightUp	0	isTop	0
-2	2	2064	200	16	8	isRightUp	1	isTop	0
-2	2	2160	102	12	10	isRightUp	1	isTop	1
-3	2	688	112	16	80
2	1	128	159	16	32
2	1	353	158	16	32
2	1	256	158	16	32
2	1	450	160	16	32
2	1	576	158	16	32
6	1	450	160	16	32
6	1	1626	79	8	16
5	1	128	159	16	32
5	1	256	158	16	32
5	1	353	158	16	32
7	1	576	158	16	32
9	1	1465	125	24	15
9	1	1643	92	24	15
-1	0	0	192	768	15
-1	0	768	208	1808	16
-1	0	1456	145	48	15
-1	0	1520	112	160	16
-1	0	1696	144	80	16
-1	0	2160	112	272	16
-1	0	2432	144	48	16
8	2	790	177	8	16
8	2	855	144	8	16
8	2	983	143	8	16
8	2	918	176	8	16
8	2	1111	144	8	16
8	2	1175	176	8	16
8	2	1238	143	8	16
8	2	1304	175	8	16
8	2	1367	144	8	16
8	2	1439	84	8	16
8	2	1497	175	8	16
8	2	1567	56	8	16
8	2	1626	79	8	16
8	2	1756	80	8	16
8	2	1689	175	8	16
8	2	1822	176	8	16
8	2	1888	176	8	16
8	2	1949	176	8	16
8	2	2012	174	8	16
8	2	2080	175	8	16
8	2	2135	142	8	16
8	2	2203	78	8	16
8	2	2268	51	8	16
8	2	1047	176	8	16
10	1	790	177	8	16
10	1	855	144	8	16
10	1	918	176	8	16
10	1	1175	176	8	16
10	1	1238	143	8	16
10	1	1304	175	8	16
10	1	1367	144	8	16
10	1	1497	175	8	16
10	1	1689	175	8	16
10	1	1756	80	8	16
10	1	1822	176	8	16
10	1	1888	176	8	16
10	1	1949	176	8	16
10	1	2012	174	8	16
10	1	2080	175	8	16
10	1	2135	142	8	16
10	1	2203	78	8	16
11	1	983	143	8	16
11	1	1111	144	8	16
11	1	1047	176	8	16
11	1	1047	176	8	16
11	1	1439	84	8	16
14	1	1567	56	8	16
12	1	1776	145	16	14
15	1	2268	51	8	16
16	2	2297	64	7	48	currentWorldChild	2
1	1	1908	173	16	32
17	0	1776	145	16	14
19	2	2560	176	16	15
18	2	2560	192	16	15
-4	2	2372	224	17	5	cameraX	2304	cameraY	187	playerX	2360	playerY	220	contactDirection	1
-2	2	2340	203	12	5	isRightUp	0	isTop	1
-1	0	2400	288	32	16
-1	0	2304	320	224	16
-1	0	2561	320	31	16
-1	0	2624	320	144	16
-1	0	2784	352	32	16
-2	2	2392	280	14	8	isRightUp	0	isTop	0
-4	2	2363	231	49	5	cameraX	2304	cameraY	10	playerX	2359	playerY	186	contactDirection	-1
-2	2	2468	136	12	8	isRightUp	0	isTop	1
-2	2	2533	200	11	8	isRightUp	0	isTop	0
22	2	2561	95	16	16	player_contact_direction	0	box_area_active_height	16	box_area_active_width	80	box_area_active_x	2351	box_area_active_y	97
-2	2	2742	312	12	8	isRightUp	0	isTop	0
-2	2	2658	202	14	6	isRightUp	0	isTop	1
8	2	2438	61	8	16
8	2	2522	143	8	16
8	2	2329	175	8	16
8	2	2378	79	8	16
-4	2	2690	224	16	5	cameraX	2512	cameraY	187	playerX	2676	playerY	220	contactDirection	1
8	2	2648	177	8	16
8	2	2605	67	8	16
8	2	2716	51	8	16
8	2	2785	78	8	16
-4	2	2681	230	53	5	cameraX	2512	cameraY	8	playerX	2679	playerY	186	contactDirection	-1
20	1	2501	388	16	32
-1	0	2625	208	957	16
-1	0	2560	128	96	16
-1	0	2656	144	48	15
-1	0	2720	112	208	16
8	2	2584	256	8	16
8	2	2651	256	8	16
8	2	2719	256	8	16
8	2	2796	256	8	16
8	2	2328	256	8	16
8	2	2396	255	8	16
8	2	2465	256	8	16
8	2	2517	256	8	16
-2	2	2752	200	16	8	isRightUp	0	isTop	0
-2	2	2690	135	14	9	isRightUp	0	isTop	1
-1	0	2576	144	8	80
-1	0	2616	144	8	80
-4	2	2324	210	33	3	cameraX	2304	cameraY	8	playerX	2359	playerY	186	contactDirection	-1
-4	2	2635	210	43	3	cameraX	2512	cameraY	8	playerX	2679	playerY	186	contactDirection	-1
20	1	2336	388	16	32
20	1	2720	388	16	32
-1	0	2752	384	32	16
17	0	2768	321	16	14
